FEMALE,NONWHITE,UNION,EDUC,AGE,EXPER,WAGE,LNWAGE
0,0,1,12,37,19,17,2.8332133441
0,0,0,12,33,15,16.05,2.7757088496
1,0,0,12,42,24,23.8,3.1696855807
0,0,1,14,47,27,25,3.2188758249
1,0,0,18,58,34,8.625,2.1546649629
0,0,0,14,40,20,11,2.3978952728
1,0,0,12,46,28,16.45,2.8003254772
1,0,0,16,23,1,18.78,2.9327924738
1,0,0,12,46,28,10,2.302585093
0,0,1,18,51,27,16.825,2.8228658755
1,0,0,12,34,16,11.56,2.4475508632
1,0,0,12,21,3,8,2.0794415417
0,0,0,12,42,24,17,2.8332133441
1,0,0,12,46,28,7,1.9459101491
1,1,0,12,19,1,11,2.3978952728
0,0,0,16,41,19,19.6,2.9755295662
1,0,0,14,37,17,10,2.302585093
1,1,1,16,47,25,22,3.0910424534
1,0,0,12,46,28,14.8,2.6946271808
0,0,1,12,44,26,29.8,3.3945083935
1,0,0,14,47,27,7,1.9459101491
0,0,0,16,28,6,12,2.4849066498
1,0,1,20,59,33,18.18,2.9003220887
1,0,0,16,47,25,22.222222222,3.1010927892
1,0,0,14,28,8,12,2.4849066498
0,0,0,18,58,34,34.177777778,3.5315756603
1,0,0,12,65,47,22.3,3.1045866785
0,0,0,18,59,35,25.75,3.2484346271
0,0,0,9,40,25,30,3.4011973817
1,0,0,14,44,24,25,3.2188758249
0,0,0,18,48,24,22.216666667,3.100842758
0,0,0,12,25,7,15,2.7080502011
1,0,1,12,58,40,35,3.5553480615
1,0,0,9,47,32,12,2.4849066498
1,0,0,12,57,39,9.85,2.2874714552
0,0,0,12,58,40,19.644444444,2.9777945729
0,0,1,20,46,20,37.5,3.624340933
0,0,0,12,46,28,19.5,2.9704144656
0,0,0,12,23,5,8,2.0794415417
1,0,0,12,51,33,9.55,2.2565411545
0,0,0,9,55,40,19.06,2.9475918982
0,0,0,16,34,12,23.75,3.1675825305
0,0,1,12,47,29,22.041666667,3.0929346015
0,0,0,16,50,28,38.45,3.649358696
1,0,0,12,55,37,14,2.6390573296
0,0,1,18,33,9,46.944444444,3.8489648695
1,0,1,16,45,23,25,3.2188758249
1,0,0,18,49,25,44.866666667,3.8036951285
1,0,0,12,40,22,14,2.6390573296
1,0,0,16,48,26,15,2.7080502011
1,0,0,12,47,29,17.66,2.8713021952
0,0,1,12,20,2,13.35,2.5915163848
1,0,0,14,51,31,19.222222222,2.9560670172
1,0,0,16,57,35,25,3.2188758249
0,0,0,16,37,15,36.21,3.5893353238
1,0,1,12,37,19,29.166666667,3.3730265047
1,0,0,18,25,1,12,2.4849066498
1,0,0,12,58,40,18.61,2.9236990707
0,0,0,14,44,24,14.25,2.6567569067
1,0,0,12,47,29,13,2.5649493575
0,0,0,12,45,27,21.5,3.0680529351
1,0,0,12,50,32,11,2.3978952728
0,0,0,12,50,32,18.75,2.9311937524
0,0,1,12,26,8,16.54,2.8057816896
0,0,0,12,33,15,20,2.9957322736
1,0,0,16,46,24,20.711538462,3.0306909586
1,1,0,18,47,23,16.710526316,2.8160388392
1,1,0,18,43,19,10,2.302585093
0,0,1,12,46,28,32,3.4657359028
0,0,1,12,26,8,20,2.9957322736
0,0,0,12,38,20,8.5,2.1400661635
0,0,0,16,59,37,72.125,4.2784007248
0,0,0,12,48,30,9,2.1972245773
1,1,0,12,41,23,14.85,2.6979998652
1,0,0,10,51,35,16.97,2.8314470792
0,0,0,12,60,42,10,2.302585093
1,0,0,12,52,34,20,2.9957322736
1,0,0,12,32,14,9,2.1972245773
1,0,1,16,30,8,10.06,2.3085671647
0,0,0,12,35,17,10,2.302585093
0,0,0,16,34,12,63,4.1431347264
1,0,0,14,45,25,12.5,2.5257286443
0,0,0,10,40,24,6,1.7917594692
0,0,1,12,48,30,21,3.0445224377
1,0,1,12,65,47,9.5,2.2512917986
0,0,0,16,25,3,26.92,3.2928695048
0,0,0,12,21,3,11,2.3978952728
1,0,0,18,57,33,28.84,3.3617633124
1,0,0,12,51,33,8.5,2.1400661635
0,0,0,16,45,23,20,2.9957322736
0,0,1,12,35,17,10.55,2.3561258599
1,0,0,18,48,24,21.25,3.0563568954
0,0,0,16,59,37,43.25,3.7669972334
1,0,0,12,21,3,10,2.302585093
0,0,0,12,39,21,20,2.9957322736
0,0,0,18,47,23,62.4,4.1335652754
0,0,0,16,40,18,44.866666667,3.8036951285
1,1,0,12,42,24,22.6,3.1179499063
1,1,0,12,27,9,26.425,3.2743105318
1,0,0,16,38,16,21.625,3.0738500528
0,1,1,12,58,40,22,3.0910424534
0,0,0,20,26,0,20.443037975,3.0176423832
0,0,1,16,39,17,25,3.2188758249
0,0,0,11,50,33,7.95,2.0731719287
1,0,1,10,38,22,10,2.302585093
0,0,1,14,51,31,40.875,3.7105186292
0,0,0,16,52,30,48.083333333,3.8729356167
1,0,0,12,46,28,20,2.9957322736
0,0,0,16,29,7,72.125,4.2784007248
1,0,0,12,58,40,12,2.4849066498
0,0,0,14,58,38,8,2.0794415417
0,0,0,12,40,22,38.5,3.6506582413
0,0,0,16,41,19,49.891891892,3.9098585024
1,0,0,12,42,24,7.4,2.0014800002
0,0,0,12,26,8,15.5,2.7408400239
1,0,0,5,47,36,15.3,2.7278528284
1,0,0,14,59,39,20.175,3.0044442142
0,0,0,12,59,41,30,3.4011973817
0,0,0,16,31,9,13.84,2.6275629502
0,1,0,16,56,34,9,2.1972245773
0,0,0,12,20,2,10,2.302585093
0,0,0,12,63,45,17.5,2.8622008809
1,0,1,14,38,18,34.8,3.5496173868
0,0,0,10,56,40,12.5,2.5257286443
0,0,1,14,42,22,29,3.36729583
1,0,0,14,47,27,25,3.2188758249
0,0,1,18,55,31,33.755555556,3.5191450128
1,0,0,12,59,41,20.2,3.0056826044
0,0,0,18,39,15,32.7,3.4873750779
1,0,0,12,49,31,7.5,2.0149030205
0,0,0,12,45,27,54,3.9889840466
1,0,0,14,42,22,45.75,3.8231917917
1,0,0,10,30,14,11,2.3978952728
1,1,0,12,49,31,10,2.302585093
1,0,0,20,43,17,10,2.302585093
1,0,0,18,40,16,31.325581395,3.4444350607
0,0,0,16,26,4,19.22,2.9559514035
1,0,0,16,23,1,13.82,2.6261168183
1,0,0,12,47,29,28.825,3.3612430662
0,0,0,16,57,35,46.15,3.8318969609
1,0,0,12,20,2,10,2.302585093
0,0,0,16,62,40,28.825,3.3612430662
1,0,0,18,44,20,17.088888889,2.8384284797
0,0,0,12,27,9,11,2.3978952728
1,0,0,16,33,11,72.125,4.2784007248
0,0,0,16,56,34,72.125,4.2784007248
0,0,1,18,29,5,28.4,3.3463891452
1,0,0,12,53,35,16,2.7725887222
0,0,0,14,41,21,45.65,3.821003607
0,0,1,12,59,41,22.44,3.1108450807
1,0,1,12,58,40,17,2.8332133441
0,0,0,12,57,39,20,2.9957322736
0,1,0,18,24,0,15,2.7080502011
0,1,0,12,29,11,24.525,3.1996930055
1,0,0,12,21,3,10,2.302585093
1,0,0,20,28,2,8.6888888889,2.1620450702
1,0,0,12,35,17,12.93,2.5595501928
0,0,1,14,58,38,29.8,3.3945083935
1,0,0,12,53,35,6,1.7917594692
1,0,0,12,20,2,8,2.0794415417
0,0,0,14,30,10,12.14,2.4965057856
1,0,0,12,32,14,8,2.0794415417
0,1,0,12,33,15,10,2.302585093
1,1,0,12,29,11,10,2.302585093
0,1,0,12,36,18,8,2.0794415417
0,1,0,5,32,21,10,2.302585093
1,1,1,12,49,31,10,2.302585093
0,1,0,10,34,18,8,2.0794415417
0,1,0,12,49,31,42,3.7376696183
0,0,1,12,54,36,36.05,3.5849068637
0,1,0,12,38,20,24,3.1780538303
0,0,0,12,28,10,24.041666667,3.1797884362
0,0,1,16,27,5,19.225,2.9562115154
0,0,0,16,25,3,8,2.0794415417
1,1,0,10,48,32,14.1,2.6461747974
0,1,0,16,54,32,36.05,3.5849068637
0,0,0,18,45,21,72.125,4.2784007248
1,1,0,14,35,15,25,3.2188758249
1,1,0,18,39,15,21.16,3.052112607
0,1,0,18,35,11,64.111111111,4.1606176892
0,1,0,20,26,0,62.5,4.1351665567
1,1,1,14,36,16,25,3.2188758249
0,1,0,12,39,21,15.75,2.7568403653
1,0,0,16,53,31,24.025,3.1790949549
0,0,1,20,59,33,41.825,3.7334942469
1,0,0,12,48,30,10,2.302585093
1,0,0,18,54,30,24.025,3.1790949549
1,0,1,16,23,1,19.225,2.9562115154
1,0,0,14,42,22,15.01,2.7087166456
0,0,0,16,42,20,12.75,2.5455312716
0,0,0,16,55,33,0.025,-3.688879454
1,0,0,18,46,22,12,2.4849066498
1,0,0,16,53,31,19.225,2.9562115154
1,0,0,14,49,29,34,3.5263605246
1,0,0,18,39,15,61,4.1108738642
0,0,0,16,62,40,35,3.5553480615
1,0,1,18,59,35,38.45,3.649358696
0,0,0,10,18,2,7.25,1.9810014689
0,0,0,12,50,32,13,2.5649493575
1,0,1,12,23,5,10.36,2.3379522368
0,0,0,16,40,18,5.7142857143,1.7429693051
0,0,0,12,45,27,14.4,2.6672282066
1,0,0,10,40,24,12.5,2.5257286443
1,0,1,11,50,33,13.38,2.5937610547
0,0,0,14,23,3,28.5,3.3499040873
0,0,0,12,46,28,10,2.302585093
0,0,1,16,31,9,39,3.6635616461
1,1,0,16,24,2,20.5,3.0204248861
1,0,0,18,56,32,26.25,3.267665989
1,0,0,10,57,41,8.5,2.1400661635
1,0,0,16,37,15,14.416666667,2.6683849447
1,0,1,18,63,39,28.342857143,3.3443750458
0,0,0,12,22,4,7.75,2.0476928434
0,0,0,11,53,36,25,3.2188758249
0,1,0,12,20,2,15,2.7080502011
1,0,0,18,54,30,10,2.302585093
0,0,0,16,31,9,13.2125,2.5811633512
1,1,0,16,57,35,8.5,2.1400661635
0,0,0,16,38,16,9,2.1972245773
0,0,0,16,24,2,17,2.8332133441
1,0,0,16,23,1,10.566666667,2.3577043922
1,0,0,12,18,0,7.25,1.9810014689
0,0,0,20,37,11,22.216666667,3.100842758
1,0,0,12,45,27,20,2.9957322736
