FEMALE,NONWHITE,UNION,EDUC,AGE,EXPER,WAGE,LNWAGE
0,0,0,12,48,30,23.62,3.1620938108
1,0,0,12,63,45,15,2.7080502011
0,0,0,12,46,28,16.03,2.7744619666
0,0,0,10,18,2,7.5,2.0149030205
0,0,0,14,27,7,17.01,2.8338014064
1,0,0,12,30,12,7.71,2.0425181876
1,0,0,12,36,18,9.6,2.2617630985
0,0,0,16,49,27,17.511111111,2.8628356001
1,0,0,18,52,28,21.625,3.0738500528
1,0,0,16,29,7,12.025,2.486987816
1,0,0,12,58,40,15.2,2.7212954279
0,0,0,12,48,30,12,2.4849066498
0,0,0,12,52,34,12.5,2.5257286443
1,0,0,16,51,29,18.25,2.90416508
1,0,0,12,55,37,18,2.8903717579
1,0,0,12,59,41,16,2.7725887222
1,0,0,16,59,37,20.88,3.038791763
1,0,1,18,35,11,14.24,2.656054906
1,0,1,14,44,24,10,2.302585093
1,0,0,12,36,18,2.7,0.993251773
0,0,0,10,43,27,9.375,2.2380465719
0,0,0,12,38,20,9.5,2.2512917986
0,0,0,12,32,14,15,2.7080502011
0,0,0,12,21,3,9,2.1972245773
1,0,0,14,47,27,21,3.0445224377
0,0,0,12,49,31,16.2,2.7850112422
1,0,0,12,21,3,11.25,2.4203681287
1,0,0,12,41,23,14.1,2.6461747974
0,0,1,18,41,17,26.45,3.2752561583
0,0,0,14,31,11,19,2.9444389792
1,0,0,18,34,10,6.3333333333,1.8458266905
0,0,0,16,46,24,34.625,3.5445759645
1,0,0,18,35,11,8,2.0794415417
1,0,0,12,39,21,23.075,3.1387497804
0,0,0,16,42,20,46.16,3.8321136222
0,0,0,18,45,21,43.690909091,3.7771400505
1,0,0,16,44,22,24.025,3.1790949549
1,0,0,12,43,25,19.89,2.9902170929
0,0,0,12,65,47,20,2.9957322736
1,1,0,9,45,30,12,2.4849066498
0,0,0,12,62,44,10.5,2.3513752572
0,0,0,18,57,33,28.84,3.3617633124
0,0,0,16,43,21,38.46,3.6496187402
0,0,0,18,61,37,27.875,3.3277302298
1,0,0,12,42,24,15.25,2.7245795031
0,0,0,12,34,16,13,2.5649493575
1,0,0,14,28,8,10,2.302585093
1,0,1,12,40,22,11.81,2.4689466302
1,0,0,12,21,3,9.8,2.2823823857
1,0,0,12,22,4,8.21,2.1053529235
0,0,0,16,24,2,17.3,2.8507065015
1,0,0,18,46,22,19.225,2.9562115154
1,0,0,12,65,47,13.5,2.6026896854
1,1,0,16,40,18,57.7,4.0552571735
1,0,1,12,46,28,11.13,2.4096441653
0,1,0,16,49,27,11.525,2.4445185889
1,0,0,12,49,31,43.275,3.7675751011
1,0,0,11,40,23,4.25,1.4469189829
1,0,0,10,30,14,8.85,2.180417459
0,0,1,18,52,28,23.17,3.1428583384
1,0,0,16,25,3,7,1.9459101491
0,0,0,12,48,30,12,2.4849066498
1,0,0,14,40,20,21.42,3.064325065
1,0,0,16,32,10,17,2.8332133441
1,0,0,12,60,42,9,2.1972245773
0,1,0,16,38,16,17,2.8332133441
0,0,0,12,40,22,12.3,2.5095992624
1,0,0,12,39,21,3.6,1.2809338455
1,0,0,12,23,5,14.08,2.6447553507
0,0,0,12,32,14,11,2.3978952728
0,0,0,16,38,16,23.661538462,3.1638508802
0,1,0,16,33,11,17.777777778,2.8779492379
1,0,1,20,54,28,37.15,3.6149637712
0,0,0,16,53,31,15.38,2.7330679641
1,0,0,12,20,2,6.925,1.9351380521
1,0,0,12,59,41,9.2,2.2192034841
0,0,0,16,27,5,20,2.9957322736
0,0,0,18,55,31,52.875,3.9679306374
0,0,0,18,47,23,51.925,3.9498003698
0,0,0,12,38,20,13.5,2.6026896854
1,0,0,18,45,21,33.342857143,3.5068435708
1,0,1,12,56,38,12.4,2.5176964726
1,0,0,16,43,21,14.94,2.7040421797
0,0,1,12,43,25,20,2.9957322736
0,0,0,12,34,16,15,2.7080502011
0,0,0,5,65,54,12.5,2.5257286443
1,0,0,12,63,45,6.9,1.9315214116
0,0,1,14,41,21,20,2.9957322736
0,0,0,12,19,1,10,2.302585093
1,0,0,16,26,4,14.25,2.6567569067
0,0,0,12,30,12,13,2.5649493575
1,0,0,12,30,12,8,2.0794415417
0,0,0,16,28,6,18.75,2.9311937524
1,0,0,12,43,25,18.11,2.8964642719
0,0,0,18,40,16,36.333333333,3.5927355936
0,0,1,12,31,13,12.07,2.4907230351
1,0,0,16,25,3,13.53,2.6049094422
0,0,0,14,41,21,13.85,2.6282852326
0,0,0,16,62,40,64.111111111,4.1606176892
0,0,1,16,50,28,35,3.5553480615
0,0,0,16,46,24,48.075,3.8727622915
1,0,1,16,43,21,18.5,2.9177707321
0,0,0,16,47,25,28.85,3.362109993
1,0,0,14,23,3,10.25,2.3272777056
1,0,0,11,18,1,3.5,1.2527629685
1,0,0,16,38,16,34.875,3.5517702401
0,0,0,16,39,17,57.7,4.0552571735
0,0,0,12,56,38,30.76,3.4262151446
1,0,0,14,38,18,30.9,3.4307561839
0,0,0,12,62,44,15,2.7080502011
1,0,0,12,36,18,17,2.8332133441
0,0,0,14,42,22,12,2.4849066498
0,0,0,12,25,7,10.6,2.3608540011
0,0,0,12,40,22,14.166666667,2.6508917873
0,0,1,18,58,34,21.875,3.0853444322
1,0,0,12,43,25,9.64,2.2659211086
1,0,0,12,21,3,7.5,2.0149030205
0,0,0,12,21,3,10,2.302585093
0,0,0,20,47,21,19.224137931,2.9561666733
0,0,0,12,25,7,10,2.302585093
0,0,0,12,30,12,20,2.9957322736
1,0,0,16,40,18,17,2.8332133441
0,0,0,20,35,9,28,3.3322045102
1,0,0,16,43,21,33,3.4965075615
0,0,0,20,58,32,16,2.7725887222
1,0,0,14,43,23,15.25,2.7245795031
0,0,0,16,49,27,22.3,3.1045866785
0,0,0,16,36,14,29.8,3.3945083935
0,1,0,16,34,12,32.7,3.4873750779
1,0,0,18,32,8,32.05,3.4672971834
1,0,0,16,56,34,43.25,3.7669972334
0,0,0,16,60,38,43.06,3.7625944919
1,0,0,12,49,31,12.76,2.5463152779
1,0,0,16,46,24,38.46,3.6496187402
1,0,1,16,43,21,6.6578947368,1.895803329
1,1,0,16,33,11,21.14,3.0511669804
0,0,0,12,27,9,21.15,3.0516399055
1,0,0,14,46,26,25,3.2188758249
0,0,0,16,50,28,21.7,3.0773122605
1,1,0,7,47,34,5,1.6094379124
0,0,0,16,25,3,0.05,-2.995732274
0,0,1,12,39,21,20,2.9957322736
0,0,0,16,37,15,2.63,0.9669838462
1,1,0,0,48,42,12,2.4849066498
0,1,0,0,55,49,10,2.302585093
1,0,0,12,20,2,4.75,1.558144618
0,0,0,12,23,5,8,2.0794415417
0,0,0,16,35,13,27.6,3.3178157727
0,0,0,16,47,25,42.733333333,3.7549792558
1,0,0,16,45,23,27.777777778,3.3242363405
0,0,0,16,45,23,72.125,4.2784007248
1,0,0,12,32,14,11.7,2.4595888418
1,0,0,14,43,23,34.625,3.5445759645
0,1,0,16,43,21,20.2,3.0056826044
1,0,0,16,62,40,33,3.4965075615
0,0,0,14,24,4,16,2.7725887222
0,0,0,18,61,37,35,3.5553480615
1,0,0,12,59,41,16,2.7725887222
0,0,0,12,44,26,20.21,3.0061775314
1,0,1,12,30,12,11.5,2.4423470354
1,0,1,18,31,7,37.142857143,3.614771482
0,0,0,14,30,10,2.89,1.0612565021
0,0,0,12,39,21,25.555555556,3.2408547316
1,0,0,12,41,23,17,2.8332133441
1,0,0,16,63,41,15.375,2.7327428137
1,1,0,10,51,35,7,1.9459101491
0,0,0,12,55,37,20,2.9957322736
1,0,1,12,48,30,9.3,2.2300144002
0,0,1,18,53,29,30.228571429,3.4087875509
0,0,0,14,40,20,17.65,2.8707357834
1,0,0,9,35,20,7.6,2.0281482473
0,0,1,10,42,26,21.7,3.0773122605
0,0,0,10,38,22,10.7,2.3702437415
1,1,0,10,39,23,8,2.0794415417
1,0,0,16,33,11,8,2.0794415417
0,0,1,12,32,14,36.87,3.6073982122
1,0,0,12,27,9,7.5,2.0149030205
1,1,0,12,28,10,6.2857142857,1.8382794849
1,1,0,12,23,5,11.37,2.4309783078
0,1,0,11,31,14,7,1.9459101491
0,0,0,12,25,7,15,2.7080502011
0,0,0,18,42,18,35.25,3.5624655293
0,0,0,16,40,18,72.125,4.2784007248
0,1,0,18,40,16,38.45,3.649358696
0,0,0,12,54,36,28,3.3322045102
0,0,0,12,47,29,21.5,3.0680529351
0,0,0,11,27,10,7.1,1.960094784
1,0,0,12,40,22,19,2.9444389792
0,0,0,18,40,16,42.525,3.7500921383
0,0,1,12,19,1,9.25,2.2246235515
0,1,0,20,41,15,39.9,3.6863763239
1,0,0,12,48,30,10,2.302585093
1,0,0,18,48,24,27.575,3.3169095651
1,0,0,18,32,8,17.422222222,2.8577465306
1,0,0,14,45,25,9,2.1972245773
1,0,0,16,49,27,33.65625,3.5161987744
0,0,1,12,45,27,34.79,3.5493299892
0,0,0,12,19,1,7.5,2.0149030205
1,0,0,12,52,34,14.4,2.6672282066
1,0,0,16,32,10,13,2.5649493575
0,0,0,16,31,9,18.75,2.9311937524
1,0,0,12,31,13,17.25,2.8478121435
1,0,0,14,37,17,31.25,3.4420193762
0,0,1,12,49,31,25,3.2188758249
0,0,0,12,52,34,18,2.8903717579
1,0,0,12,50,32,14.425,2.6689628124
1,0,1,18,33,9,29.75,3.392829132
1,0,0,12,45,27,8.75,2.1690537004
1,0,0,11,18,1,4,1.3862943611
0,1,0,18,46,22,50,3.9120230054
0,0,0,12,39,21,41.54,3.7266568184
0,0,0,16,39,17,15.38,2.7330679641
1,0,0,14,47,27,18,2.8903717579
1,0,0,12,47,29,54.942857143,4.0062936841
0,1,0,12,38,20,13.5,2.6026896854
0,0,0,12,25,7,15,2.7080502011
1,0,0,12,47,29,10,2.302585093
0,0,0,18,39,15,30.76,3.4262151446
1,0,0,16,52,30,7.5,2.0149030205
0,0,0,16,33,11,23.08,3.1389664416
0,0,1,12,54,36,24,3.1780538303
0,0,0,5,38,27,8.65,2.1575593209
0,0,1,12,52,34,32,3.4657359028
0,0,0,12,39,21,18.5,2.9177707321
0,0,0,12,42,24,19,2.9444389792
0,0,0,14,23,3,20,2.9957322736
0,0,0,12,29,11,30,3.4011973817
1,1,0,12,49,31,12,2.4849066498
1,0,0,16,22,0,11.666666667,2.4567357728
1,0,1,18,61,37,35.714285714,3.5755507688
0,0,1,12,26,8,22,3.0910424534
0,0,0,12,50,32,10,2.302585093
1,0,0,16,23,1,19.95,2.9932291433
1,1,1,18,29,5,26.925,3.293055223
1,1,0,5,57,46,15.96,2.770085592
1,1,0,12,40,22,10,2.302585093
1,0,0,16,33,11,12.5,2.5257286443
0,0,0,12,22,4,14.285714286,2.6592600369
1,0,0,16,37,15,57.7,4.0552571735
1,0,0,12,52,34,16.35,2.7942278973
0,0,0,16,53,31,12,2.4849066498
0,0,1,16,43,21,13.925,2.6336857858
0,0,0,12,58,40,12,2.4849066498
1,1,0,9,49,34,9,2.1972245773
1,0,1,16,44,22,19.225,2.9562115154
0,1,0,18,25,1,7.5,2.0149030205
1,1,1,12,55,37,19.5,2.9704144656
0,1,0,12,28,10,9,2.1972245773
1,1,0,12,41,23,28.825,3.3612430662
0,0,0,12,43,25,6.25,1.8325814637
1,0,0,20,46,20,19.228571429,2.9563972682
0,0,1,14,39,19,25,3.2188758249
1,1,0,12,29,11,12.975,2.5630244291
0,1,1,5,52,41,11.25,2.4203681287
0,1,0,12,33,15,16.5,2.8033603809
1,1,0,20,57,31,64.111111111,4.1606176892
0,1,0,18,65,41,36.05,3.5849068637
1,0,0,12,36,18,12.5,2.5257286443
0,0,0,12,47,29,19.24,2.9569914452
0,1,1,12,47,29,20.93,3.0411835365
1,1,0,11,21,4,6,1.7917594692
0,1,0,16,65,43,17,2.8332133441
1,1,0,12,18,0,9,2.1972245773
1,1,1,12,38,20,22.125,3.0967081909
0,0,0,12,61,43,37.5,3.624340933
1,0,1,18,31,7,17.975,2.8889819036
0,0,1,12,32,14,20,2.9957322736
1,0,0,16,33,11,16.666666667,2.8134107168
1,0,1,12,42,24,14.5,2.6741486494
0,0,0,18,49,25,34.62,3.5444315497
1,1,0,12,45,27,5,1.6094379124
0,1,1,20,45,19,64.088888889,4.1602710086
0,0,0,16,49,27,26.825,3.2893342885
1,0,1,14,47,27,25.315789474,3.2314282909
0,0,0,14,52,32,43.75,3.7784916128
0,0,0,12,40,22,17,2.8332133441
0,0,0,16,44,22,18.45,2.9150643705
1,1,0,14,58,38,19.225,2.9562115154
1,1,0,16,25,3,15.375,2.7327428137
0,1,1,12,41,23,11.75,2.4638532406
0,1,0,12,53,35,21,3.0445224377
1,0,0,12,34,16,41.325,3.7214676437
1,0,0,12,38,20,14.4,2.6672282066
0,0,0,12,33,15,13.1,2.5726122302
1,0,0,12,42,24,11.04,2.4015250408
0,0,1,12,62,44,33,3.4965075615
1,0,1,18,49,25,18.44,2.9145222181
0,0,1,12,40,22,20.68,3.0291670496
1,0,0,12,32,14,19.225,2.9562115154
0,0,0,18,48,24,38.45,3.649358696
0,0,0,12,21,3,7,1.9459101491
1,0,0,7,21,8,10,2.302585093
1,0,0,16,56,34,18.685714286,2.92775929
1,0,1,12,31,13,23.53,3.1582762027
0,0,0,12,44,26,21.55,3.0703758165
1,0,0,14,40,20,25,3.2188758249
0,0,1,7,36,23,14.5,2.6741486494
1,0,0,14,46,26,8,2.0794415417
1,0,0,14,60,40,30,3.4011973817
0,0,1,14,44,24,31.428571429,3.4477173973
1,1,1,12,50,32,13.825,2.6264785474
1,0,0,11,18,1,6,1.7917594692
0,0,0,16,34,12,31.25,3.4420193762
1,0,0,16,60,38,20.88,3.038791763
1,0,0,12,36,18,6.925,1.9351380521
0,0,0,12,19,1,6.75,1.9095425049
0,0,0,12,24,6,8,2.0794415417
0,0,0,12,42,24,16,2.7725887222
0,0,1,12,37,19,24.05,3.1801349966
1,0,1,16,26,4,19.225,2.9562115154
0,0,0,16,40,18,21,3.0445224377
0,0,0,16,50,28,23.289473684,3.1480014853
0,0,0,12,20,2,15.47,2.7389026646
0,0,1,16,62,40,38.45,3.649358696
0,1,1,16,30,8,32.5,3.4812400893
1,1,0,16,50,28,25.1,3.2228678461
0,1,0,20,56,30,35.833333333,3.5788785589
1,0,0,12,47,29,10,2.302585093
0,0,0,16,51,29,17.5,2.8622008809
0,0,0,12,30,12,18.25,2.90416508
1,0,0,14,25,5,21.25,3.0563568954
1,0,0,14,42,22,20,2.9957322736
0,1,0,12,42,24,11.23,2.4185887688
0,0,1,18,36,12,38.45,3.649358696
1,1,0,16,29,7,18.25,2.90416508
1,1,0,12,45,27,12,2.4849066498
0,0,0,20,34,8,19.24,2.9569914452
0,0,1,16,39,17,20.775,3.0337503407
0,0,1,12,35,17,15,2.7080502011
1,0,0,14,35,15,18,2.8903717579
1,0,1,16,50,28,23.325,3.1495257467
0,0,0,16,43,21,25.555555556,3.2408547316
1,0,1,12,40,22,18,2.8903717579
1,0,0,12,62,44,15.25,2.7245795031
0,0,0,11,58,41,25,3.2188758249
1,0,0,14,57,37,20.18,3.0046920149
0,0,0,12,23,5,7.5,2.0149030205
1,0,0,16,45,23,12.3,2.5095992624
1,0,0,12,21,3,0.16,-1.832581464
0,0,0,14,39,19,40.875,3.7105186292
0,0,0,12,31,13,13,2.5649493575
0,0,0,12,57,39,16.666666667,2.8134107168
