FEMALE,NONWHITE,UNION,EDUC,AGE,EXPER,WAGE,LNWAGE
0,0,1,12,42,24,22.63,3.1192764596
0,0,0,12,28,10,10,2.302585093
1,1,0,12,45,27,6.725,1.9058319255
0,1,0,12,21,3,6.25,1.8325814637
0,0,1,12,47,29,14,2.6390573296
1,0,0,12,44,26,4.5,1.5040773968
1,1,1,16,45,23,13,2.5649493575
1,0,0,12,58,40,14.425,2.6689628124
0,0,0,20,42,16,37.5,3.624340933
1,0,0,12,47,29,9.75,2.277267285
0,1,1,12,47,29,27.5,3.3141860047
1,1,1,16,24,2,12.15,2.4973291698
0,0,1,12,41,23,31.5,3.4499875458
0,0,1,12,51,33,18,2.8903717579
1,0,0,16,34,12,30,3.4011973817
0,1,0,12,47,29,10,2.302585093
1,0,1,12,37,19,16.3,2.7911651078
1,0,0,12,46,28,14.75,2.6912430828
0,0,0,12,44,26,23.75,3.1675825305
0,0,0,18,51,27,19.225,2.9562115154
0,0,0,12,26,8,7,1.9459101491
0,0,0,12,29,11,20,2.9957322736
0,1,0,18,25,1,13,2.5649493575
1,1,0,16,33,11,18,2.8903717579
1,1,1,12,60,42,15.942857143,2.7690109009
1,1,0,12,20,2,6,1.7917594692
1,0,0,16,41,19,11.857142857,2.4729304587
0,0,0,16,25,3,8.5,2.1400661635
0,0,1,16,27,5,17.3,2.8507065015
1,0,0,12,28,10,6,1.7917594692
1,1,0,9,33,18,8.3,2.1162555148
0,0,0,18,55,31,26.425,3.2743105318
0,1,0,12,19,1,17.5,2.8622008809
0,0,1,12,41,23,24.025,3.1790949549
1,0,0,10,19,3,4.75,1.558144618
1,0,0,12,52,34,15,2.7080502011
0,0,0,10,28,12,12,2.4849066498
1,0,0,12,25,7,5.5,1.7047480922
1,0,1,16,28,6,14.425,2.6689628124
0,0,0,16,26,4,11.05,2.402430428
0,0,0,18,40,16,42.733333333,3.7549792558
0,0,0,14,36,16,23.170731707,3.1428899179
0,0,0,12,50,32,17.3,2.8507065015
0,0,1,12,25,7,30,3.4011973817
0,0,0,12,21,3,5,1.6094379124
0,0,0,12,30,12,8.2,2.1041341543
1,0,1,14,44,24,13,2.5649493575
0,0,1,16,44,22,11.73,2.4621496627
1,0,0,14,58,38,14.2,2.6532419646
1,0,0,16,29,7,15.85,2.7631695003
0,0,0,16,47,25,9.27,2.2267833796
0,1,0,12,39,21,7,1.9459101491
0,0,0,14,37,17,18.45,2.9150643705
0,0,0,16,26,4,7.5,2.0149030205
1,0,0,18,28,4,14.425,2.6689628124
1,0,0,12,57,39,8,2.0794415417
0,0,0,12,21,3,6,1.7917594692
1,0,1,12,34,16,7,1.9459101491
1,0,0,12,20,2,6,1.7917594692
0,0,1,12,25,7,10.54,2.3551775431
0,0,1,12,61,43,8.22,2.1065702091
0,0,0,18,51,27,35,3.5553480615
1,0,1,18,54,30,50.633333333,3.9246101209
1,0,0,12,39,21,14.14,2.6490076605
0,0,0,12,61,43,7.28,1.9851308622
0,0,0,12,21,3,15,2.7080502011
1,0,0,12,30,12,16.485714286,2.802494205
0,0,0,10,34,18,8.75,2.1690537004
0,0,0,12,32,14,9.95,2.2975725512
0,0,0,14,25,5,10.6,2.3608540011
1,0,0,12,25,7,7.25,1.9810014689
0,0,1,12,54,36,15,2.7080502011
1,0,0,12,54,36,6.25,1.8325814637
0,0,1,12,28,10,7,1.9459101491
0,0,0,18,50,26,25.644444444,3.2443269573
1,0,1,18,50,26,21.047619048,3.0467874444
0,0,0,11,18,1,6,1.7917594692
0,1,0,16,48,26,5,1.6094379124
1,1,1,12,50,32,6.8,1.9169226122
1,0,1,5,51,40,8,2.0794415417
0,0,1,12,28,10,17.5,2.8622008809
1,1,0,12,50,32,16.825,2.8228658755
0,1,0,12,39,21,15,2.7080502011
1,0,1,18,34,10,35.833333333,3.5788785589
1,0,0,12,41,23,14.425,2.6689628124
1,0,0,16,33,11,30.76,3.4262151446
0,0,0,12,37,19,8,2.0794415417
0,0,0,16,33,11,10.15,2.3174737055
1,0,0,12,51,33,14,2.6390573296
0,0,1,14,38,18,30,3.4011973817
0,0,0,16,44,22,38.46,3.6496187402
1,0,0,12,40,22,16,2.7725887222
1,0,0,12,53,35,13.45,2.598979106
0,0,0,12,31,13,7,1.9459101491
0,0,0,16,24,2,12.236363636,2.5044121444
